# Unfamiliar words — words you need to practice
# Format: word	TAB	meaning
# This file is generated by the init-wordlist skill.
abandon	v. 遗弃；离开；放弃；终止；陷入n. 放任，狂热
hazard	n. 动力；促进；冲力；动量
he	n. 含义；暗示；牵连，卷入；可能的结果，影响
headache	vt. 意味；暗示；隐含
heading	n. 进口，进口货；输入；意思，含义；重要性vt. 输入，进口；含…的意思vi. 输入，进口
headline	n. 价值；重要；重大；傲慢
headmaster	adj. 重要的，重大的；有地位的；有权力的
headquarters	vi. 利用；欺骗；施加影响vt. 强加；征税；以…欺骗
heal	adj. 不可能的；不可能存在的；难以忍受的；不真实的n. 不可能；不可能的事
health	vt. 盖印；强征；传送；给予某人深刻印象vi. 给人印象n. 印象，印记；特征，痕迹
healthy	n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
heap	adj. 感人的；令人钦佩的；给人以深刻印象的
hear	vt. 监禁；关押；使…下狱
hearing	vt. 改善，增进；提高……的价值vi. 增加；变得更好
heart	n. 改进，改善；提高
heat	n. 冲动；[电子] 脉冲；刺激；神经冲动；推动力vt. 推动prep.在...之内(上),在...期间,从事于,符合,穿着;adv.进入,朝里,在家,已到达(来临);adj.在里面的,执政的;n.执政者,入口;India,印度;In,元素铟(indium);Intelligent Network,智能网络
heating	vt. 创新；开辟；开创；举行开幕典礼；举行就职典礼
heave	n. 动机；刺激
heaven	n. 英寸；身高；少许vt. 使缓慢地移动vi. 慢慢前进n. (Inch)人名；(英)英奇
heavily	n. 发生率；影响；[光] 入射；影响范围
heavy	n. 事件，事变；插曲adj. [光] 入射的；附带的；易发生的，伴随而来的
heel	v. 倾向于；（使）倾向于；赞同（某人或某事）；有……倾向；（使）倾斜；低头n. 斜坡；斜面
height	vt. 包含，包括
heighten	adj. 包含的，包括的；包含全部费用的；
heir	n. 收入，收益；所得
helicopter	vt. 包含，吸收；体现；把……合并vi. 合并；混合；组成公司adj.合并的；一体化的；组成公司的
hell	adj. 错误的，不正确的；不适当的；不真实的
hello	v. 增加；增大；提高；增强n. 增加；增多；增长n. (Increase)（英、美、印、尼日尼亚）英克里斯（人名）
helmet	adv. 越来越多地；渐增地
help	adj. 不能相信的，难以置信的；极好的，极大的
helpful	v. 招致，遭受；引致，带来……
helpless	adv. 的确；实在；真正地；甚至int. 真的（表示惊讶、怀疑、讽刺等）
hemisphere	adj. 不确定的；无限的；模糊的
hen	n. 独立性，自立性；自主
hence	adj. 独立的；单独的；无党派的；不受约束的n. 独立自主者；无党派者
henceforth	n. 指标；指数；索引；指针vi. 做索引vt. 指出；编入索引中
her	n. 印度（南亚国家）adj.印度的,印度人的,印第安人的n.印度人,印第安人,印第安语
herd	vt. 表明；指出；预示；象征
here	n. 指示，指出；迹象；象征
heritage	adj. 象征的；指示的；表示…的n. 陈述语气；陈述语气的动词形式
hero	adj. 冷淡的；不关心的；中等的；平庸的；一般的；相当差的；中立的；不分化的n. 冷漠的人
heroic	adj. 愤愤不平的；义愤的
heroine	n. 愤慨；愤怒；义愤
hers	adj. 间接的；迂回的；非直截了当的
herself	adj. 不可缺少的；绝对必要的；责无旁贷的n. 不可缺少之物；必不可少的人
hesitate	adj. 个人的；个别的；独特的n. 个人，个体
hi	adv. 在室内，在户内
hide	vt. 诱导；引起；引诱；感应
hierarchy	vt. 满足；纵容；使高兴；使沉迷于…vi. 沉溺；满足；放任
highlight	vt. 使工业化vi. 实现工业化
highly	n. 产业；工业；勤勉
highway	adj. 无效率的，效率低的；无能的
hill	n. [力] 惯性；惰性，迟钝；不活动
hillside	adj. 必然的，不可避免的
him	adj. 便宜的
himself	n. 婴儿；幼儿；未成年人adj. 婴儿的；幼稚的；初期的；未成年的
hinder	n. (Infant)人名；(英)因方特
hinge	vt. 感染，传染
hint	adj. 传染的；传染性的；易传染的
hire	vt. 推断；推论vi. 推断；作出推论
his	n. 推理；推论；推断
historian	adj. 差的；自卑的；下级的，下等的n. 下级；次品
historic	adj. 无限的，无穷的；无数的；极大的n. 无限；[数] 无穷大；无限的东西（如空间，时间）
historical	n. 膨胀；通货膨胀；夸张；自命不凡
history	vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
hit	n. 影响；势力；感化；有影响的人或事vt. 影响；改变
hitherto	adj. 有影响的；有势力的n. 有影响力的人物
hobby	vt. 通知；告诉；报告vi. 告发；告密
holiday	vt. 栖息；居住于；占据vi. （古）居住；栖息
holy	vt. 继承；遗传而得vi. 成为继承人
homogeneous	adj. 最初的；字首的vt. 用姓名的首字母签名n. 词首大写字母；原始细胞
honest	vt. 开始，创始；发起；使初步了解n. 开始；新加入者，接受初步知识者adj. 新加入的；接受初步知识的
honesty	n. 主动权；积极性；首创精神；新方案；倡议adj. 初步的，基础的
honeymoon	n. 注射；注射剂；充血；射入轨道
honour	vt. 伤害，损害
honourable	n. 伤害，损害；受伤处
hook	n. 墨水，油墨; （乌贼分泌的）墨液 vt. 给…上油墨（以供印刷、签订合同等）; 签名（在…上）; 涂油墨
hopeful	n. 入口，进口；插入物；水湾v. 引进; 嵌入; 插入;
hopeless	n. 客栈；旅馆vi. 住旅馆n. (Inn)人名；(柬)因
horizon	adj. 内部的；内心的；精神的n. 内部
horizontal	adj. 无辜的；无罪的；无知的n. 天真的人；笨蛋n. (Innocent)人名；(英、西)因诺森特；(法)伊诺桑
horn	n. 创新，革新；新方法
horrible	adj. 无数的，数不清的
horror	n. 投入；输入电路vt. [自][电子] 输入；将…输入电脑
horsepower	n. 探究；调查；质询；询盘，询价
hose	adj. 疯狂的；精神病的；极愚蠢的
hospital	n. 昆虫；卑鄙的人n.里面,内部,内脏,内情adj.内部的,秘密的,于室内工作的adv.在里面prep.在...之内
hospitality	n. 洞察力；洞悉n. (Insight)人名；(英)因赛特
host	vt. 坚持，强调vi. 坚持，强调
hostage	vt. 检查；视察；检阅vi. 进行检查；进行视察
hostess	n. 视察，检查
hostile	n. 灵感；鼓舞；吸气；妙计
hotel	vt. 安装；任命；安顿
hour	n. 安装，装置；就职
house	n. 安装；分期付款；部分；就职
housewife	adj. 立即的；紧急的；紧迫的n. 瞬间；立即；片刻
hover	adj. 瞬间的；即时的；猝发的
how	adv. 立即地；马上地；即刻地conj. 一…就…25812594/ɪnˈsʌlt; ˈɪnsʌlt/2616
however	adv. 代替；反而；相反
hug	n. 本能，直觉；天性adj. 充满着的
huge	n. （尤指科学、教育的）机构，研究所，学会；机构建筑；（与法律相关的）注释，概要v. 实行，建立；授予……职位；提出（诉讼）
human	n. 制度；建立；（社会或宗教等）公共机构；习俗
humanity	vt. 指导；通知；命令；教授
humble	n. 指令，命令；指示；教导；用法说明
humid	n. 仪器；工具；乐器；手段；器械vt. 给……装测量仪器
humidity	adj. 乐器的；有帮助的；仪器的，器械的n. 器乐曲；工具字，工具格
humorous	adj. 不足的；不能胜任的，缺乏能力的
humour	vt. 隔离，使孤立；使绝缘，使隔热
hundred	v. 侮辱；辱骂；损害n. 侮辱；凌辱；无礼
hunger	n. 保险；保险费；保险契约；赔偿金
hungry	vt. 给……保险；北美确保，保证vi. 投保；北美确保
hunt	adj. 完整的；原封不动的；未受损伤的
hurl	adj. 积分的；完整的，整体的；构成整体所必须的n. 积分；部分；完整
hurricane	vt. 使…完整；使…成整体；求…的积分；表示…的总和vi. 求积分；取消隔离；成为一体adj. 整合的；完全的n. 一体化；集成体
hurry	n. 完整；正直；诚实；廉正
hurt	n. 智力，理解力；思维逻辑领悟力；智力高的人
husband	adj. 智力的；聪明的；理智的n. 知识分子；凭理智做事者
hut	n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
hydrogen	adj. 智能的；聪明的；理解力强的
hypothesis	adj. 可理解的；明了的；仅能用智力了解的
hysterical	vt. 打算；想要；意指vi. 有打算
I	adj. 强烈的；紧张的；非常的；热情的
ice	vi. 增强，强化；变激烈vt. 使加强，使强化；使变激烈
idea	n. 强度；强烈；[电子] 亮度；紧张
ideal	adj. 加强的；集中的；透彻的；加强语气的n. 加强器
identical	n. 意图；目的；含义adj. 专心的；急切的；坚决的
identification	n. 意图；目的；意向；愈合
identify	adj. 故意的；蓄意的；策划的
identity	vt. 互相影响；互相作用vi. 互相影响；互相作用n. 幕间剧；幕间休息
ideology	n. 相互作用，相互影响；交流；[数] 交互作用；互动
idiom	n. 兴趣，爱好；利息；利益；趣味；同行vt. 使……感兴趣；引起……的关心；使……参与
idle	adj. 有趣的；引起兴趣的，令人关注的
if	vi. 干涉；妨碍；打扰vt. 冲突；介入
ignite	n. 干扰，冲突；干涉
ignorance	adj. 临时的，暂时的；中间的；间歇的n. 过渡时期，中间时期；暂定
ignorant	n. 内部，里面；内景；内陆，腹地；内政，内务；本质adj. 内部的，里面的；内位的；内陆的，腹地的；内务的，内政的；心灵的，精神的；本质的
ignore	adj. 中间的，过渡的；中级的，中等的n. 中级生；（化合物）中间体，中间物；中介，媒介v. 充当调解人，起媒介作用
ill	adj. 间歇的；断断续续的；间歇性26322657
illegal	adj. 内部的；体内的；（机构）内部的；国内的；本身的；内心的；（大学生）本校生的n. 内脏；内部特征
illness	adj. 国际的；国际通用的n. 国际体育比赛（选手）；外国人n.(International) 共产国际（组织）
illuminate	vt. 说明；口译vi. 解释；翻译
illusion	n. 解释；翻译；演出
illustrate	n. 解释者；口译者；注释器
illustration	vt. 中断；打断；插嘴；妨碍vi. 打断；打扰n. 中断
image	n. 中断；干扰；中断之事
imaginary	n. 交叉；十字路口；交集；交叉点
imagination	n. 间隔；间距；幕间休息
imaginative	vi. 干涉；调停；插入
imagine	n. 接见，采访；面试，面谈vt. 采访；接见；对…进行面谈；对某人进行面试
imitate	adj. 亲密的；私人的；精通的；有性关系的n. 知己；至交vt. 暗示；通知；宣布
imitation	vt. 恐吓，威胁；胁迫
immediate	prep. 到……里面；触及，碰撞；朝，向；转向；关于；转变成；造成（某种结果）；除；对……很有兴趣n. (Into) （美）因托（人名）
immediately	adj. 复杂的；错综的，缠结的
immense	n. 阴谋；诡计；复杂的事；私通vt. 用诡计取得；激起...的兴趣vi.私通；密谋
immerse	adj. 本质的，固有的
immigrant	vt. 介绍；引进；提出；采用
immune	n. 介绍；引进；采用；入门；传入
impact	n. 直觉；直觉力；直觉的知识
impair	vt. 侵略；侵袭；侵扰；涌入vi. 侵略；侵入；侵袭；侵犯
impart	adj. 无效的；有病的；残疾的n. 病人；残疾者vt. 使伤残；使退役
impatient	vi. 变得病弱；因病而奉命退役
imperial	adv. 总是；不变地；一定地
impetus	n. 入侵，侵略；侵袭；侵犯
implement	vt. 发明；创造；虚构
implication	n. 发明；发明物；虚构；发明才能
implicit	n. 发明家；[专利] 发明人；创造者
imply	n. 存货，存货清单；详细目录；财产清册vt. 给……开列清单
import	vt. 使…转化；使…颠倒；使…反转；使…前后倒置n. 颠倒的事物；倒置物；倒悬者adj. 转化的
importance	vt. 投资；覆盖；耗费；授予；包围vi. 投资，入股；花钱买
important	v. 调查；研究
impose	n. 调查；调查研究
impossible	n. 投资；投入；封锁
impress	adj. 无形的，看不见的；无形的；不显眼的，暗藏的
impressive	vt. 邀请，招待；招致n. 邀请
imprison	vt. 包含；牵涉；使陷于；潜心于
improve	adj. 向内的；内部的；精神的；本质上的；熟悉的adv. 向内；内心里n. 内部；内脏；密友n. (Inward)人名；(英)英沃德
improvement	n. 熨斗；烙铁；坚强vt. 熨；用铁铸成adj. 铁的；残酷的；刚强的
impulse	vi. 熨衣；烫平n. (Iron)人名；(英)艾恩2660
inaugurate	adj. 不整齐的；不规则的；不正常的；非正规的；不按时的；便秘的（委婉语）n. 不规则物；不合规格的产品；非正规军人员
incentive	adj. 不考虑的，不顾的adv. 不考虑地，不顾地
inch	n. 灌溉；[临床] 冲洗；冲洗法
incidence	vt. 刺激，使兴奋；激怒vi. 引起恼怒，引起不愉快
incident	n. 岛；岛屿；安全岛；岛状物adj. 岛的vt. 孤立；使成岛状n.(Island)人名；(英)艾兰vt.使隔离,使孤立,使绝缘,离析n.隔离种群
incidentally	n. 问题；流出；期号；发行物vt. 发行，发布；发给；放出，排出
incline	vi. 发行；流出；造成……结果；传下pron.它;Italy,意大利;Information Technology,信息技术
include	adj. 意大利的；意大利语的；意大利文化的n. 意大利人；意大利语2674268226852690
inclusive	n. 意大利（欧洲南部国家）
income	n. 条款，项目；一则；一件商品（或物品）adv. 又，同上v. 记下；逐条列出
incorporate	pron. 它的n. (Its)人名；(俄)伊茨
incorrect	pron. 它自己；它本身
increase	n. 象牙；乳白色；长牙adj. 乳白色的；象牙制的n. (Ivory)人名；(英)艾沃里
increasingly	n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹vt. 给…穿夹克；给…装护套；给…包上护封；〈口〉打
incredible	n. 监狱；监牢；拘留所vt. 监禁；下狱n. (Jail)人名；(英)杰尔
incur	n. 果酱；拥挤；困境；扣篮vt. 使堵塞；挤进，使塞满；混杂；压碎
indeed	vi. 堵塞；轧住n. (Jam)人名；(伊朗、巴基)贾姆
indefinite	n. 一月
independence	n. 日本（东亚国家名）
independent	adj. 日本（人）的；日语的n. 日本人；日语
index	n. 罐；广口瓶；震动；刺耳声vi. 冲突；不一致；震惊；发刺耳声
India	vt. 震动；刺激；使震动n. (Jar)人名；(罗)扎尔
Indian	n. 颌；下巴；狭窄入口；唠叨vi. 教训；唠叨vt. 教训；对…唠叨n.(Jaw)人名；(冈)乔
indicate	n. 爵士乐，爵士舞；喧闹vi. 奏爵士乐，跳爵士舞；游荡vt. 奏爵士乐；使活泼adj. 爵士乐的；喧吵的n. (Jazz)人名；(德)雅茨
indication	adj. 妒忌的；猜疑的；唯恐失去的；戒备的
indicative	vt. 危害；使陷危地；使受危困
indifferent	n. 急拉；猛的一动；肌肉抽搐；蠢人；没品的人vi. 痉挛；急拉；颠簸地行进vt. 猛拉adj. 香料腌制的n. (Jerk) 耶尔克（人名）
indignant	n. 喷射，喷嘴；喷气式飞机；黑玉adj. 墨黑的vt. 射出vi. 射出；[航] 乘喷气式飞机
indignation	n. 犹太人；犹太教徒；守财奴vt. 杀价；欺骗
indirect	n. 宝石；珠宝vt. 镶以宝石；饰以珠宝
indispensable	adj. 犹太人的；犹太族的n.工作,零活,口职位,事情,圣经约伯,极有耐心的人vi.做零工,打杂,做股票经纪,假公济私vt.代客买卖(股票,货物等),批发,承包,欺骗
individual	vt. 参加；结合；连接vi. 加入；参加；结合n. 结合；连接；接合点
indoors	n. (Join)人名；(法)茹安269227002718n.接缝,接合处,接合点,关节,(牛、羊等的腿)大块肉adj.共同的,联合的,连接的,合办的vt.连接,接合,使有接头vi.贴合,生节
induce	n. 玩笑，笑话；笑柄vt. 开…的玩笑vi. 开玩笑n. (Joke)人名；(英)乔克；(塞)约凯adj.欢乐的,高兴的,快活的
indulge	n. 日报，杂志；日记；分类账
industrial	n. 新闻工作者；报人；记日志者
industrialize	n. 旅行；行程vi. 旅行n. (Journey)人名；(英)朱尼，朱妮(女名)
industry	n. 欢乐，快乐；乐趣；高兴vi. 欣喜，欢喜vt. 高兴，使快乐
inefficient	adj. 欢喜的；令人高兴的
inertia	n. 法官；裁判员；鉴定人v. 判断；猜测（大小、数量等）；裁判；评价；审判，判决n. (Judge) （美、爱、英）贾奇（人名）
inevitable	n. 意见；判断力；[法] 审判；评价
inexpensive	n. （水果）汁，液；果汁
infant	n. 七月n.跳跃,上涨,惊跳vt.跳跃,跃过,突升,使跳跃vi.跳跃,暴涨
infect	n. 连接，接合；交叉点；接合点
infectious	n. 六月；琼（人名，来源于拉丁语，含义是“年轻气盛的六月”）
infer	n. 丛林，密林；危险地带adj. 丛林的；蛮荒的n.年少者,晚辈,下级,(年龄、职位等)较低者,大学三年级学生adj.年少的,下级的,后进的
inference	n. [法] 陪审团；评判委员会adj. 应急的n. (Jury)人名；(西)胡里；(英、法)朱里；(德)尤里adj.正义的,公正的,正确的,应得的,有充分根据的adv.正好,仅仅,刚才,只是,不过
inferior	n. 司法，法律制裁；正义；法官，审判员n. (Justice)人名；(英)贾斯蒂斯，贾斯蒂丝(女名)
infinite	n. 理由；辩护；认为有理，认为正当；释罪
inflation	vi. 证明合法；整理版面vt. 证明……是正当的；替……辩护
inflict	adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的n. 痛哭，挽歌n. (Keen)人名；(英)基恩；(德)肯；(肯)金
influence	vt. 保持；经营；遵守；饲养vi. 保持；继续不断n. 保持；生计；生活费n. (Keep)人名；(英)基普
influential	n. 监护人；饲养员；看守人；管理人
inform	n. 壶；[化工] 釜；罐；鼓n. (Kettle)人名；(英)凯特尔n.钥匙,关键,解答,(打字机等的)键,调子,对译本,(开钟表、发条的)栓,要害vt.调节...的音调,锁上,插上栓,提供线索vi.使用钥匙n.[乐]键,调,基调
information	n. 键盘vt. 键入；用键盘式排字机排字vi. 用键盘进行操作；作键盘式排字机排字v.踢n.踢
ingenious	n. 小孩；小山羊vt. 欺骗；取笑；戏弄vi. 欺骗；取笑；戏弄adj.小山羊皮制的；较年幼的n. (Kid)人名；(英)基德
ingredient	n. [解剖] 肾脏；腰子；个性n. (Kidney)人名；(英)基德尼
inhabit	vt. 杀死；扼杀；使终止；抵消vi. 杀死n. 杀戮；屠杀adj. 致命的；致死的n. (Kill)人名；(德)基尔
inhabitant	n. 公斤；千克
inherit	n. [计量] 公里；[计量] 千米（等于kilometre）
inhibit	n. 种类；性质adj. 和蔼的；宽容的；令人感激的n. (Kind)人名；(德、俄、法、捷)金德；(瑞典)欣德
initial	n. 仁慈；好意；友好的行为n. (Kindness)人名；(英)坎德尼斯273127332752n.国王,君主,(部落的)首领,纸牌中的Kvt.立...为王vi.做国王,统治
initiate	n. 王国；界；领域n. (Kingdom)人名；(英)金德姆n.吻,(风,浪等)拂vt.吻,轻拂vi.接吻
initiative	n. 工具箱；成套工具vt. 装备vi. 装备n. (Kit)人名；(俄)基特；(东南亚国家华语)吉；(英)基特，姬特(女名)(教名 Christopher、Katherine 的昵称)
inject	n. 厨房；炊具；炊事人员n. (Kitchen)人名；(英)基钦
injection	n. 风筝vi. 使用空头支票；像风筝一样飞；轻快地移动vt. 骗钱；涂改（支票）n. （Kite）（塞）基特；（英）凯特（人名）
injure	n. 膝盖，膝vt. 用膝盖碰n. (Knee)人名；(英)尼
injury	vi. 跪下，跪
ink	n. 刀；匕首vt. 用刀切；（口）伤害vi. 劈开；划过
inland	vi. 编织；结合；皱眉vt. 编织；结合n. 编织衣物；编织法
inlet	n. 把手；瘤；球形突出物vi. 鼓起vt. 使有球形突出物n. (Knob)人名；(匈、捷)克诺布
inn	vi. 敲；打；敲击vt. 敲；打；敲击；批评n. 敲；敲打；爆震声
inner	n. （绳等的）结；节瘤，疙瘩；海里/小时（航速单位）vt. 打结vi.打结n. (Knot)人名；(英)诺特
innocent	vt. 知道；认识；懂得vi. 了解；熟悉；确信
innovation	n. 知识，学问；知道，认识；学科n. (Knowledge)人名；(南非)诺利奇
innumerable	n. 实验室，研究室n.标签,签条,商标,标志vt.贴标签于,指...为,分类,标注 [计] 加上或修改磁盘的标签
input	n. 劳动；工作；劳工；分娩vi. 劳动；努力；苦干vt. 详细分析；使厌烦n. (Labor)人名；(德、塞、法)拉博尔；(英)拉博
inquire	n. 实验室，研究室
inquiry	n. 劳动力，人工；分娩vi. 劳动；分娩；费力地前进
insane	n. 花边；鞋带；饰带；少量烈酒vt. 饰以花边；结带子vi. 系带子n.(Lace)人名；(意)拉切
insect	n. 缺乏，不足v. 缺乏，不足，没有；需要n. (Lack) （美、德）拉克（人名）
inside	n. 阶梯；途径；梯状物vi. 成名；发迹vt. 在……上装设梯子
insight	n. 女士，夫人；小姐；妻子
insist	n. 落后；迟延；防护套；囚犯；桶板vt. 给......保温vi. 滞后；缓缓而行；蹒跚adj. 最后的n. （Lag）（俄）拉格（人名）
inspect	n. 湖；深红色颜料；胭脂红vt. （使）血球溶解vi. （使）血球溶解
inspection	n. (Lake)人名；(德、塞、瑞典)拉克；(英)莱克
inspiration	n. 羔羊，小羊；羔羊肉vt. 生小羊，产羔羊vi. 生小羊，产羔羊n.(Lamb)人名；(英)兰姆；(德)兰布
inspire	adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的vi.变跛vt. 使跛；使成残废
install	n. 灯；照射器vt. 照亮vi. 发亮n. (Lamp)人名；(英、德、匈、瑞典)兰普
installation	n. 国土；陆地；地面vt. 使…登陆；使…陷于；将…卸下vi. 登陆；到达n. (Land)人名；(英、德、葡、瑞典)兰德276227652774
installment	n. 登陆；码头；楼梯平台v. 登陆（land的ing形式）n. (Landing)人名；(冈、瑞典、塞内)兰丁
instance	n. 女房东；女地主；女店主
instant	n. 房东，老板；地主n.风景,山水画,地形,前景v.美化
instantaneous	n. 小巷；[航][水运] 航线；车道；罚球区n. (Lane)人名；(英、俄)莱恩；(老)兰；(德、法、意、葡、塞、瑞典)拉内n. 兵线（游戏术语）
instantly	n. 语言；语言文字；表达能力
instead	n. 灯笼；提灯；灯笼式天窗
instinct	n. 一圈；大腿；下摆；山坳vt. 使重叠；拍打；包围；缠绕；舔舐；领先一圈vi. 重叠；轻拍；围住n. （Lap）（越）拉普（人名）
institution	adv. 主要地；大部分；大量地
instruct	n. 激光n. (Laser)人名；(德)拉泽adj.最后的,临终的,末尾的,最近的,结论性的vi.持续,支持,维持vt.使维持,楦adv.最后,后来n.最后,末尾,临终,鞋楦头
instruction	adj. 晚的；迟的；已故的；最近的adv. 晚；迟；最近；在晚期
instrument	adv. 近来，不久前
instrumental	adj. 潜在的；潜伏的；隐藏的
insufficient	adv. 后来；稍后；随后adj. 更迟的；更后的n. (Later)人名；(德)拉特
insulate	n. 拉丁语；拉丁人；拉丁音乐adj. 拉丁语的，用拉丁语写成的； 拉丁语系国家（或民族）的；拉丁人的n. (Latin) （美）拉京（人名）
insult	n. 纬度；界限；活动范围
insurance	adj. 后者的；近来的；后面的；较后的n. （Latter）（英、德、捷）拉特（人名）
insure	v. 笑，发出笑声；笑着说n. 笑（声）；引人发笑的事或人
intact	n. 笑；笑声
integral	v. 发射（导弹、火箭等）；发起，发动；使……下水；开始；起飞n.发射；发行，投放市场；下水；汽艇
integrity	n. 厕所，盥洗室
intellect	n. 法; 法学; 规律; 法制
intellectual	n. 草地；草坪n. (Lawn)人名；(缅)朗
intelligence	n. 律师；法学家n. (Lawyer)人名；(英)劳耶vt.放置,铺设,产(卵)提出,平息,布置vi.下蛋,打赌n.位置,层面,形势,短叙事诗adj.世俗的,外行的 vbl.lie的过去式n.层,阶层
intelligent	n. 外行；门外汉；俗人；一般信徒n. (Layman)人名；(英)莱曼
intelligible	n. 布局；设计；安排；陈列
intend	adj. 懒惰的；懒洋洋的；怠惰的；慢吞吞的n. (Lazy)人名；(德)拉齐
intense	vt. 领导；致使；引导；指挥vi. 导致；用水砣测深n. 领导；铅；导线；榜样n. (Lead) （英）利德（人名）
intensify	n. 领导者；首领；指挥者n. （Leader）（英）利德（人名）
intensity	n. 领导能力；领导阶层2824
intensive	adj. 领导的；主要的n. 领导；铅板；行距v. 领导（lead的ing形式）
intent	n. 叶子；（书籍等的）一张；扇页vi. 生叶；翻书页vt. 翻…的页，匆匆翻阅n. (Leaf)人名；(英)利夫
intention	n. 小叶；传单
intentional	n. 联盟；社团；范畴vt. 使…结盟；与…联合vi. 团结；结盟n.(League)人名；(英)利格n.漏洞,漏出,漏出物,泄漏,俚撒尿vi.漏,泄漏vt.使渗漏n.倾斜,倾斜度,倚靠,倾向adj.瘦的,贫乏的,歉收的vi.倚靠,倾斜,依赖,倾向,偏向vt.使倾斜v.跳,跳越,跳跃n.跳跃,飞跃
interact	vt. 学习；得知；认识到vi. 学习；获悉adj.有学问的,学术上的
interaction	n. 学习；学问v. 学习（learn的现在分词）
interest	n. 租约；租期；租赁物；租赁权vt. 出租；租得vi. 出租
interesting	adj. 最小的；最少的（little的最高级）adv. 最小；最少n. 最小；最少
interfere	n. 皮革；皮革制品vt. 用皮革包盖；抽打adj. 皮的；皮革制的n.(Leather)人名；(英)莱瑟
interference	vt. 离开；留下；遗忘；委托vi. 离开，出发；留下n. 许可，同意；休假
interim	n. 演讲；讲稿；教训vt. 演讲；训诫vi. 讲课；讲演
intermediate	v. 离开（leave的过去式）
intermittent	n. 腿；支柱
internal	adj. 法律的；合法的；法定的；依照法律的n. （Legal）（法）勒加尔（人名）
international	n. 传奇；说明；图例；刻印文字n. (Legend)人名；(西)莱亨德；(英)莱金德
interpret	n. 立法；法律
interpretation	adj. 合法的；正当的；合理的；正统的vt. 使合法；认为正当（等于legitimize）
interpreter	n. 闲暇；空闲；安逸adj. 空闲的；有闲的；业余的n. (Leisure)人名；(英)莱热
interrupt	n. 柠檬；柠檬汁；柠檬树；柠檬色；废物；蠢人adj. 浅黄色的，柠檬色的n. (Lemon) （美）莱蒙 （人名）
interruption	vt. 贷；增添，提供；把……借给vi. 贷款n. (Lend)人名；(德)伦德
intersection	n. 长度，长；时间的长短；语音长
interval	n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃
intervene	vt. 给……摄影n.较少,较小adj.少的,小的adv.较少地,更小地,不及 prep.减去
interview	vt. 使…变小；使…减轻；使…变少vi. 减少；减轻；变小n.(Lessen)人名；(德、罗)莱森
intimate	n. 教训；课vt. 教训；上课
intimidate	conj. 唯恐，以免；（引出产生某种情感的原因）唯恐，担心
intricate	n. (Let)人名；(缅)莱；(俄)莱特
intrigue	n. 信；字母，文字；证书；文学，学问；字面意义vt. 写字母于vi.写印刷体字母n. （Letter）（美、英、巴西）莱特（人名）2825
intrinsic	n. 水平；标准；水平面adj. 水平的；平坦的；同高的vi. 瞄准；拉平；变得平坦vt. 使同等；对准；弄平n. (Level)人名；(法)勒韦尔
introduce	n. 杠杆；控制杆vt. 用杠杆撬动；把…作为杠杆vi. 用杠杆撬n.(Lever)人名；(法)勒韦；(英)利弗；(德)莱韦尔
introduction	n. 责任；债务；倾向；可能性；不利因素
intuition	adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
invade	n. 说谎的人n. (Liar) （俄、美、德）莉娅尔（人名）
invalid	adj. 自由主义的；慷慨的；不拘泥的；宽大的n. 自由主义者n.(Liberal)人名；(葡)利贝拉尔
invaluable	vt. 解放；放出；释放
invariably	n. 释放，解放
invasion	n. 自由；许可；冒失n. (Liberty)人名；(英)利伯蒂
invent	n. 图书馆员；图书管理员
invention	n. 图书馆，藏书室；文库
inventor	n. 执照，许可证；特许（同 licence）vt. 许可；特许；发许可证给2858
inventory	vt. 舔；卷过；鞭打vt. （非正式）战胜vi. 舔；轻轻拍打n. 舔；打；少许n. (Lick)人名；(英、匈)利克
invert	n. 盖子；眼睑；限制vt. 给…盖盖子n. (Lid)人名；(捷、挪)利德
invest	vi. 躺；说谎；位于；展现vt. 谎骗n. 谎言；位置n. (Lie)人名；(罗、挪、瑞典)利；(中)李(普通话·威妥玛)
investigate	n. 中尉；副官；助理人员
investigation	n. 生活，生存；寿命
investment	n. 一生；寿命；终生；使用期adj. 一生的；终身的n.举起,电梯,起重机,搭车vt.升高,提高,举起,空运vi.升起,(指雾等)消散,耸立n.光,日光,发光体,灯adj.轻的,发光的,明亮的,浅的vt.点燃,照亮adv.轻地vi.点着,变亮
invisible	vi. 减轻；发亮vt. 使照亮；使轻松
invitation	adv. 轻轻地；轻松地；容易地；不费力地
invite	n. 闪电；突然；（非正式）突如其来的好运adj. 闪电般快的，飞快的；突然的v. 闪电n.爱好,同样的人(或物)adj.相似的,同样的vt.喜欢,希望,愿意vi.喜欢,希望 prep.象,如同adv.可能
involve	n. 可能性，可能
iron	adv. 同样地；也
